ticker,name,sector,industry,cik
AAPL,Apple Inc.,Technology,Consumer Electronics,320193
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,789019
NVDA,NVIDIA Corporation,Technology,Semiconductors,1045810
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,1018724
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,1652044
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,1326801
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1067983
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,59478
TSM,Taiwan Semiconductor Manufacturing Co. Ltd.,Technology,Semiconductors,1046179
AVGO,Broadcom Inc.,Technology,Semiconductors,1730168
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,19617
V,Visa Inc.,Financial Services,Credit Services,1403161
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,731766
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,34088
MA,Mastercard Incorporated,Financial Services,Credit Services,1141391
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,909832
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,104169
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,80424
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,200406
ORCL,Oracle Corporation,Technology,Software - Infrastructure,1341439
HD,The Home Depot Inc.,Consumer Cyclical,Home Improvement Retail,354950
NFLX,Netflix Inc.,Communication Services,Entertainment,1065280
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,70858
CRM,Salesforce Inc.,Technology,Software - Application,1108524
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,1551152
AMD,Advanced Micro Devices Inc.,Technology,Semiconductors,2488
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,93410
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,21344
MRK,Merck & Co. Inc.,Healthcare,Drug Manufacturers - General,64978
PEP,PepsiCo Inc.,Consumer Defensive,Beverages - Non-Alcoholic,77476
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,97745
ADBE,Adobe Inc.,Technology,Software - Infrastructure,796343
LIN,Linde plc,Basic Materials,Specialty Chemicals,1707925
ACN,Accenture plc,Technology,Information Technology Services,1467373
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,63908
CSCO,Cisco Systems Inc.,Technology,Communication Equipment,858877
ABT,Abbott Laboratories,Healthcare,Medical Devices,1800
DHR,Danaher Corporation,Healthcare,Diagnostics & Research,313616
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,1413329
TXN,Texas Instruments Incorporated,Technology,Semiconductors,97476
ISRG,Intuitive Surgical Inc.,Healthcare,Medical Instruments & Supplies,1035267
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,804328
GE,GE Aerospace,Industrials,Aerospace & Defense,40545
INTU,Intuit Inc.,Technology,Software - Application,896878
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,318154
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,78003
T,AT&T Inc.,Communication Services,Telecom Services,732717
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,732712
DIS,The Walt Disney Company,Communication Services,Entertainment,1744489
NKE,NIKE Inc.,Consumer Cyclical,Footwear & Accessories,320187
